[2025-08-26 15:03:32.627] [main] [info] [3543296] Logger initialized with level: 1
[2025-08-26 15:03:32.627] [main] [info] [3543296] M5Stack Tab5 Emulator starting...
[2025-08-26 15:03:32.627] [main] [info] [3543296] Version: 1.0.0
[2025-08-26 15:03:32.627] [main] [info] [3543296] Build: Aug 25 2025 08:29:17
[2025-08-26 15:03:32.627] [main] [info] [3543296] Loaded configuration from: config/default.json
[2025-08-26 15:03:32.983] [main] [info] [3543296] Emulator initialized successfully
[2025-08-26 15:03:32.983] [main] [info] [3543296] M5Stack Tab5 Emulator (CLI) started - Press Ctrl+C to stop
[2025-08-26 15:03:32.983] [main] [info] [3543296] For firmware loading and advanced features, use: ./m5tab5-emulator-gui
[2025-08-26 15:03:42.990] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:03:52.997] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:03.004] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:13.011] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:23.018] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:33.025] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:43.031] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:04:53.039] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:05:03.045] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:05:13.052] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:05:23.060] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:05:33.078] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
[2025-08-26 15:05:43.085] [main] [info] [3543296] Status: 0 cycles executed, 0.000000x speed
